timestamp,x,y
1754383688387,1005,797
1754383688487,1005,797
1754383688587,1004,796
1754383688687,1020,786
1754383688787,1032,780
1754383688887,1048,773
1754383688987,1084,758
1754383689087,1103,749
1754383689187,1109,741
1754383689287,1119,719
1754383689387,1120,715
1754383689487,1120,713
1754383689587,1120,713
1754383689687,1120,713
1754383689787,1120,713
1754383689887,1120,712
1754383689987,1120,712
