User ID,Session,Timestamp,Timems,Datetime,Button,Event Type,State,x,y,Speed,Application Width,Application Height
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697633,1649697633762,2022-04-11 17:20:33.762,No Button,Move,Move,107,54,26px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697633,1649697633801,2022-04-11 17:20:33.801,No Button,Move,Move,106,53,26px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697633,1649697633836,2022-04-11 17:20:33.836,No Button,Move,Move,110,50,114px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697633,1649697633866,2022-04-11 17:20:33.866,No Button,Move,Move,136,43,839px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697633,1649697633896,2022-04-11 17:20:33.896,No Button,Move,Move,208,36,2483px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636078,2022-04-11 17:20:36.078,No Button,Move,Move,913,94,323px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636711,2022-04-11 17:20:36.711,No Button,Move,Move,912,94,2px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636747,2022-04-11 17:20:36.747,No Button,Move,Move,887,94,694px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636781,2022-04-11 17:20:36.781,No Button,Move,Move,861,96,743px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636814,2022-04-11 17:20:36.814,No Button,Move,Move,814,97,1469px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636847,2022-04-11 17:20:36.847,No Button,Move,Move,746,101,2061px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636880,2022-04-11 17:20:36.880,No Button,Move,Move,610,108,4121px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636914,2022-04-11 17:20:36.914,No Button,Move,Move,448,116,4765px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636948,2022-04-11 17:20:36.948,No Button,Move,Move,379,119,2029px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697636,1649697636981,2022-04-11 17:20:36.981,No Button,Move,Move,353,116,788px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637014,2022-04-11 17:20:37.014,No Button,Move,Move,353,114,61px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637048,2022-04-11 17:20:37.048,No Button,Move,Move,352,104,294px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637081,2022-04-11 17:20:37.081,No Button,Move,Move,343,91,394px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637114,2022-04-11 17:20:37.114,No Button,Move,Move,302,65,1242px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637148,2022-04-11 17:20:37.148,No Button,Move,Move,245,38,1676px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637180,2022-04-11 17:20:37.180,No Button,Move,Move,202,15,1344px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637212,2022-04-11 17:20:37.212,No Button,Move,Move,185,0,531px/s,209,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637961,2022-04-11 17:20:37.961,No Button,Move,Move,176,15,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697637,1649697637994,2022-04-11 17:20:37.994,No Button,Move,Move,258,45,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638086,2022-04-11 17:20:38.086,No Button,Move,Move,484,161,2457px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638127,2022-04-11 17:20:38.127,No Button,Move,Move,606,224,2976px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638161,2022-04-11 17:20:38.161,No Button,Move,Move,669,251,1853px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638194,2022-04-11 17:20:38.194,No Button,Move,Move,721,276,1576px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638227,2022-04-11 17:20:38.227,No Button,Move,Move,752,295,939px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638260,2022-04-11 17:20:38.260,No Button,Move,Move,776,316,727px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638294,2022-04-11 17:20:38.294,No Button,Move,Move,794,338,629px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638329,2022-04-11 17:20:38.329,No Button,Move,Move,798,344,176px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638533,2022-04-11 17:20:38.533,No Button,Move,Move,800,345,10px/s,1460,958
